regionname,current_income,2009_income,sqftpr
"Hot Springs, AR",48562,38912,82
"Dubuque, IA",63933,48674,127
"Manhattan, KS",52468,44469,133
"Parkersburg, WV",44924,39691,71
"Cheyenne, WY",64856,53330,201
"Ames, IA",64232,48544,139
"Elmira, NY",52994,44451,69
"Corvallis, OR",63770,50073,204
"Bloomsburg, PA",57293,43445,92
"Midland, MI",63870,50715,92
"Pocatello, ID",54951,45589,158
"Kokomo, IN",51329,45477,72
"Grants Pass, OR",46938,36687,182
"Grand Island, NE",63404,45724,113
"Hinesville, GA",51487,40483,89
"Columbus, IN",64236,50010,102
"Casper, WY",63633,53928,169
"Lewiston, ID",57490,42875,141
"Carson City, NV",53803,50357,205
